sentiment,content
negative,Layin n bed with a headache  ughhhh...waitin on your call...
negative,Funeral ceremony...gloomy friday...
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
negative,@charviray Charlene my love. I miss you
negative,@kelcouch I'm sorry  at least it's Friday?
neutral,cant fall asleep
negative,Ugh! I have to beat this stupid song to get to the next  rude!
negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
negative,The storm is here and the electricity is gone
negative,So sleepy again and it's not even that late. I fail once again.
negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
negative,It is so annoying when she starts typing on her computer in the middle of the night!
neutral,@cynthia_123 i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,Screw you @davidbrussee! I only have 3 weeks...
negative,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
neutral,has work this afternoon
neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
negative,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,@benballer  no way! damn that sucks B!  are you ok?
neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,@lostluna But I got dibs on Sulu...
negative,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
negative,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
negative,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
negative,@Pokinatcha  in all honesty...pain   blech.
negative,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,At home alone with not much to do
negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
neutral,I cant give @jertronic any bday nudges.
neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking.  http://plurk.com/p/wxion
neutral,I miss Voobys!
neutral,@Dancing_Monk Neither are ELP!!
negative,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
negative,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
negative,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
negative,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
neutral,@lepetitagneau what's going on sweetheart?
neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
neutral,@willxxmobb work at 6am. Gotta go to bed soon
negative,@sweeetnspicy hiii im on my ipod...i cant fall asleep
negative,dont wanna work 11-830 tomorrow  but i get paid
negative,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
neutral,PrinceCharming
negative,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
negative,@mrgenius23 You win ... SIGH Rakeem
neutral,Oh is that time for real?
negative,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
negative,"@soviet_star Damn, that sucks"
negative,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
negative,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
negative,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
neutral,@justamedicine  That was stone cold   Crazy....  ?
neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
neutral,@thecreativeone I second that. I wish it rained more where I am
negative,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
neutral,damn it were is Eric or anyone else when you need your hair to be played with
neutral,I'm feel deflated. Ugh. No more dog.
negative,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
neutral,Well it almost was a good day... Guess I just retry tomorrow
negative,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
negative,@britblackbird  youstinkatrespondingtotexts!
negative,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
negative,Is miserable  i feel like im gona cry  sux!
neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
negative,*sigh* I'm going to bed... I just don't feel right anymore...
neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
neutral,@jwillock EpiCentre Wheelock Place - tourists only..
negative,Now I am depressed after watching so you think you can dance
negative,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
neutral,miss 16'th
neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
neutral,what is it with chocolates? i just can never say no
neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
neutral,still needs another 6 hours of sleep
neutral,"Morning tweeple,way to early again"
negative,"Last day working for the Uni today, sad times"
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
negative,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
negative,is still missing her husband.    I really want him home.
negative,I miss my puppy
negative,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
negative,@BarbSchaefer yearling in pet home died... very sad for their whole family
neutral,fun in the sun hmmm hell no it's cold
negative,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
negative,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
negative,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
neutral,@juneyee i don't think so.  I WANT DETAILS.
neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
neutral,my last tweet didn't send  bad phone
neutral,@taxidermi  I was watching Parental Control
negative,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
negative,Took a shift tomorrow.    I don't really feel like working right now.
negative,but now i have no money for a phone
negative,Too bad the Red Devils.. disappointing to say the least
negative,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
negative,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
negative,@AlexanderGWhite daaammmnnnnn I do wish I was there.
negative,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
negative,is a bad friend
neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
negative,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
neutral,@aiderushton ill be over in an oir
neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
negative,would wish the severe migrains would stop!!! doc's prescriptions arent working
negative,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
negative,@tiffalo cuz airlines are super lame.
negative,@lenje - Still a pity it comes with no lamb though
negative,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
negative,I'm so very tired...and have insomnia.
neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
negative,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
neutral,@MrRathbone what about me
neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
negative,Had to cancel wow for now
negative,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
negative,Up late with nothin 2 do.....
neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
neutral,#3wordsaftersex it never started...
negative,sometimes i wish things could go back to the way they were the beginning of last summer
negative,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
neutral,@mysticnz no im not  cries LOL
negative,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
negative,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
neutral,Come on Knight... It's been well over 4 hours
negative,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
negative,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
neutral,twittascope is NOT rocking my socks - go away already!!
neutral,Driving Back home because I forgot the piece of cake for @v_era
negative,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
negative,It's pissing me off and not letting me follow ericka
negative,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
negative,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
neutral,@koifusionpdx i was so close to the tacos...one spot too late
negative,I haven't seen Muffin in two whole days!
negative,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
negative,Just found mj mouse flats at DJs. Of course there are none left in my size
neutral,@passingcarss i wont have time to buy  and i need a new binder pa
negative,@lanacaitlin  hahaha well its try its so ugly
neutral,25-man Ulduar is hard...
neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
neutral,@princess_oats this is happening to me too
neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
